id,WGS_lat,WGS_lon
100198947,35.53686026551888,129.24617270595715
100198948,35.53731085261797,129.24617968347223
100211135,35.53640397404951,129.24671698782282
100211136,35.53685456108953,129.24672396826415
100211137,35.5373051480944,129.24673094886035
100223322,35.535497093198785,129.247254280314
100223323,35.53594768021476,129.2472612635265
100223324,35.53639826719563,129.24726824689395
100223325,35.536848854141375,129.24727523041628
100223326,35.53729944105199,129.2472822140936
100223327,35.53775002792748,129.24728919792577
100235510,35.53504079705793,129.24779854692994
100235511,35.53549138401474,129.24780553306837
100235512,35.535941970936435,129.2478125193618
100235513,35.53639255782301,129.24781950581018
100235514,35.536843144674435,129.24782649241354
100235515,35.53729373149076,129.24783347917193
100235516,35.53774431827195,129.24784046608525
100247698,35.53458449855196,129.2483428073843
100247699,35.53503508544958,129.2483497964485
100247700,35.535485672312056,129.24835678566777
100247701,35.53593625913939,129.24836377504207
100247702,35.53638684593164,129.2483707645714
100247703,35.536837432688735,129.24837775425578
100247704,35.53728801941072,129.24838474409523
100247705,35.53773860609756,129.24839173408975
100247706,35.53818919274929,129.2483987242393
100259886,35.53412819768102,129.24888706167727
100259887,35.534578784519375,129.24889405366713
100259888,35.53502937132261,129.2489010458121
100259889,35.53547995809071,129.24890803811215
100259890,35.53593054482369,129.24891503056728
100259891,35.53638113152153,129.24892202317758
100259892,35.53683171818427,129.24892901594296
100259893,35.537282304811846,129.24893600886352
100259894,35.53773289140432,129.24894300193915
100259895,35.538183477961645,129.24894999516997
100259896,35.53863406448387,129.24895698855588
100259897,35.539084650970956,129.2489639820969
100259912,35.5458434440618,129.24906890383153
100259913,35.546294029986804,129.24907589985526
100272074,35.53367189444522,129.24943130980895
100272075,35.53412248122428,129.2494383047243
100272076,35.53457306796822,129.24944529979481
100272077,35.53502365467703,129.2494522950205
100272078,35.53547424135072,129.24945929040135
100272079,35.53592482798926,129.24946628593742
100272080,35.5363754145927,129.24947328162864
100272081,35.53682600116096,129.24948027747504
100272082,35.537276587694166,129.24948727347666
100272083,35.537727174192206,129.24949426963343
100272084,35.53817776065512,129.24950126594544
100272085,35.538628347082906,129.24950826241266
100272086,35.53907893347557,129.24951525903506
100272087,35.5395295198331,129.24952225581268
100272088,35.53998010615549,129.2495292527455
100272101,35.545837725149866,129.24962022699816
100272102,35.54628831098044,129.24962722610434
100272103,35.546738896775885,129.24963422536575
100284262,35.533215588844676,129.24997555177956
100284263,35.5336661755644,129.24998254962023
100284264,35.53411676224901,129.24998954761617
100284265,35.53456734889849,129.24999654576737
100284266,35.53501793551285,129.25000354407376
100284267,35.53546852209205,129.25001054253545
100284268,35.53591910863615,129.25001754115235
100284269,35.53636969514512,129.25002453992448
100284270,35.536820281618944,129.2500315388519
100284271,35.53727086805766,129.25003853793459
100284272,35.537721454461234,129.25004553717253
100284273,35.53817204082968,129.25005253656576
100284274,35.53862262716301,129.25005953611424
100284275,35.539073213461194,129.250066535818
100284276,35.53952379972425,129.25007353567702
100284277,35.539974385952185,129.25008053569135
100284278,35.540424972145,129.25008753586093
100284279,35.540875558302645,129.25009453618583
100284280,35.54132614442519,129.250101536666
100284290,35.54583200371833,129.25017155000953
100284291,35.546282589454414,129.25017855219815
100284292,35.54673317515536,129.2501855545421
100296452,35.53366045416512,129.25053378927626
100296453,35.534111040755235,129.2505407903528
100296454,35.534561627310204,129.2505477915846
100296455,35.53501221383006,129.25055479297177
100296456,35.53546280031476,129.25056179451425
100296457,35.53591338676436,129.25056879621204
100296458,35.53636397317882,129.25057579806509
100296459,35.53681455955815,129.25058280007352
100296461,35.537715732211424,129.25059680455638
100296462,35.53816631848535,129.25060380703079
100296463,35.53861690472417,129.25061080966054
100296464,35.53906749092784,129.25061781244568
100296465,35.53951807709639,129.25062481538612
100296466,35.539968663229786,129.25063181848188
100296467,35.5404192493281,129.25063882173305
100296468,35.54086983539124,129.25064582513951
100296469,35.541320421419265,129.25065282870142
100296470,35.541771007412144,129.25065983241862
100296471,35.5422215933699,129.25066683629123
100296472,35.54267217929252,129.25067384031917
100296473,35.54312276518004,129.2506808445025
100296478,35.54537569409049,129.2507158677499
100296480,35.54627686540875,129.2507298781366
100296481,35.54672745101517,129.25073688356304
100296482,35.54717803658647,129.2507438891449
100308641,35.53365473024736,129.251085028777
100308642,35.53410531674292,129.2510920329341
100308643,35.534555903203355,129.2510990372466
100308645,35.53545707601883,129.25111304633774
100308646,35.535907662373866,129.25112005111637
100308647,35.53635824869378,129.2511270560504
100308648,35.53680883497857,129.25113406113982
100308649,35.537259421228214,129.25114106638466
100308650,35.53771000744273,129.25114807178488
100308651,35.53816059362213,129.25115507734048
100308653,35.53906176587552,129.25116908891798
100308654,35.539512351949504,129.25117609493984
100308655,35.53996293798838,129.2511831011171
100308656,35.5404135239921,129.25119010744976
100308657,35.540864109960694,129.2511971139379
100308658,35.541314695894165,129.25120412058143
100308659,35.54176528179249,129.25121112738043
100308660,35.542215867655685,129.25121813433483
100308661,35.542666453483754,129.25122514144468
100308663,35.54356762503447,129.2512391561307
100308664,35.544018210757145,129.2512461637069
100308667,35.54536996771431,129.25126718736817
100308668,35.54582055329645,129.2512741955662
100308669,35.546271138843444,129.2512812039197
100308670,35.54672172435529,129.25128821242865
100308671,35.54717230983201,129.25129522109305
100308672,35.54762289527359,129.25130222991294
100320830,35.533649003811114,129.25163626812238
100320831,35.53409959021208,129.25164327536004
100320832,35.53455017657793,129.2516502827532
100320833,35.53500076290866,129.25165729030178
100320834,35.53545134920426,129.25166429800584
100320835,35.53590193546469,129.25167130586533
